observation_date,CPI_all_items_France_monthly
1960-06-01,-0.076745970836515895
1960-07-01,0.384024577572973980
1960-08-01,0.918133129303738027
1960-09-01,0.151630022744501991
1960-10-01,0.151400454201361001
1960-11-01,0.302343159486012980
1960-12-01,0.226073850791269987
1961-01-01,0.075187969924797204
1961-02-01,0.075131480090184596
1961-03-01,-0.075075075075101805
1961-04-01,-0.075131480090143005
1961-05-01,-0.225563909774447013
1961-06-01,-0.226073850791242009
1961-07-01,0.755287009063434156
1961-08-01,0.599700149925043946
1961-09-01,0.521609538002960060
1961-10-01,1.111934766493730020
1961-11-01,1.026392961876819943
1961-12-01,0.362844702467352898
1962-01-01,0.650759219088915986
1962-02-01,0.101832993890029894
1962-03-01,0.610376398779249985
1962-04-01,0.202224469160773912
1962-05-01,0.302724520686164011
1962-06-01,0.402414486921539916
1962-07-01,0.400801603206397905
1962-08-01,-0.099800399201605994
1962-09-01,0.399600399600409883
1962-10-01,0.199004975124383005
1962-11-01,0.595829195630576014
1962-12-01,0.394866732477798910
1963-01-01,0.786627335299897035
1963-02-01,0.585365853658527002
1963-03-01,0.290979631425813901
1963-04-01,0.193423597678922005
1963-05-01,0.386100386100383997
1963-06-01,0.673076923076922018
1963-07-01,0.382043935052515993
1963-08-01,0.380589914367267024
1963-09-01,0.663507109004762952
1963-10-01,0.188323917137481894
1963-11-01,0.281954887218021977
1963-12-01,0.187441424554832009
1964-01-01,0.374181478016823998
1964-02-01,0.093196644920815697
1964-03-01,0.093109869646166799
1964-04-01,0.093023255813950004
1964-05-01,0.092936802973974206
1964-06-01,0.185701021355621887
1964-07-01,0.278035217794266987
1964-08-01,0.184842883548963999
1964-09-01,0.461254612546131981
1964-10-01,0.275482093663924898
1964-11-01,0.000000000000000000
1964-12-01,0.000000000000000000
1965-01-01,0.549450549450539949
1965-02-01,0.091074681238612204
1965-03-01,0.272975432211113977
1965-04-01,0.181488203266792991
1965-05-01,0.271739130434760001
1965-06-01,1.626016260162600036
1965-07-01,-0.888888888888865969
1965-08-01,-0.269058295964127003
1965-09-01,0.269784172661871990
1965-10-01,0.179372197309398990
1965-11-01,0.179051029543425000
1965-12-01,0.357462019660421015
1966-01-01,0.356188780053414977
1966-02-01,0.177462289263535994
1966-03-01,0.177147918511939007
1966-04-01,0.353669319186569908
1966-05-01,0.352422907488996018
1966-06-01,-0.087796312554880795
1966-07-01,0.351493848857653890
1966-08-01,0.087565674255676906
1966-09-01,0.262467191601050975
1966-10-01,0.174520069808033002
1966-11-01,0.261324041811858976
1966-12-01,0.260642919200674006
1967-01-01,0.433275563258250007
1967-02-01,0.086281276962895795
1967-03-01,0.258620689655184977
1967-04-01,0.085984522785872902
1967-05-01,0.171821305841929006
1967-06-01,0.000000000000000000
1967-07-01,0.257289879931402010
1967-08-01,0.342172797262604911
1967-09-01,0.341005967604442017
1967-10-01,0.509770603228549946
1967-11-01,0.760777683854610975
1967-12-01,0.083892617449650306
1968-01-01,1.005867560771170011
1968-02-01,0.082987551867227602
1968-03-01,0.082918739635165203
1968-04-01,0.248550124275063011
1968-05-01,0.330578512396682012
1968-06-01,0.329489291598031975
1968-07-01,0.328407224958936983
1968-08-01,0.490998363338790988
1968-09-01,0.651465798045599009
1968-10-01,1.051779935275090061
1968-11-01,0.320256204963958901
1968-12-01,0.239425379090184992
1969-01-01,1.114649681528659952
1969-02-01,0.314960629921267998
1969-03-01,0.470957613814758980
1969-04-01,0.468750000000001998
1969-05-01,0.466562986003112912
1969-06-01,0.309597523219801996
1969-07-01,0.462962962962944979
1969-08-01,0.230414746543799898
1969-09-01,0.536398467432960047
1969-10-01,0.609756097560972044
1969-11-01,0.454545454545457084
1969-12-01,0.301659125188525001
1970-01-01,0.827067669172930175
1970-02-01,0.306435137895810006
1970-03-01,0.305498981670058900
1970-04-01,0.507614213197986053
1970-05-01,0.404040404040401979
1970-06-01,0.402414486921526982
1970-07-01,0.200400801603204892
1970-08-01,0.399999999999997913
1970-09-01,0.398406374501990013
1970-10-01,0.396825396825395027
1970-11-01,0.395256916996044982
1970-12-01,0.295275590551179912
1971-01-01,0.588812561334638995
1971-02-01,0.487804878048777979
1971-03-01,0.388349514563104903
1971-04-01,0.580270793036765986
1971-05-01,0.673076923076919020
1971-06-01,0.382043935052528982
